name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2025 YW2),False,0.0380149984,0.0850041206,.9801708329259807,.2281267579545609,4.393685332031852,354.4468241232213,ATE,13250314.38224283,24766.4812376596
(2025 YY2),False,0.0060000515,0.013416523,1.27709655795172,.3494182322765984,6.663799314047496,527.1497785891428,APO,2705621.571618384,37066.2725876497
(2025 YZ2),False,0.0175047123,0.0391417266,1.514565097872114,.4166252448292191,8.7089297210791,680.8169250641823,APO,3308250.994717827,38797.9083221576
(2025 VS31),False,0.1500911125,0.3356139303,2.29330612653213,.4552157406653091,5.468389236897196,1268.50292727998,AMO,272916056.57829684,6443.0386484087
(2025 WY29),False,0.0367413387,0.082156131,1.52936226190144,.3428974864822602,6.442507076469833,690.8185344853887,APO,17119912.145849574,16852.5715102225
(2025 WZ29),False,0.0447048844,0.0999631605,1.535515872461687,.2826081037100805,23.94655170754238,694.9921383744066,AMO,18019474.04277379,47098.4209790987
(2025 XV7),False,0.0499982699,0.1117995303,1.553012548425013,.2166950750630755,2.621779119865524,706.9047081434088,AMO,11728380.496677192,23583.2685188194
(2025 YA3),False,0.0141174083,0.0315674847,2.503655816488028,.7837008573119895,11.4745165987806,1446.972790691553,APO,848469.00335355,88656.5090005074
(2025 YB3),False,0.0390260841,0.087264977,2.428137741382596,.5733231697273374,3.952805758300769,1382.001154910302,AMO,17499890.27189618,30750.1699743707
(2025 YC3),False,0.0664591797,0.1486072436,.8533748116448003,.1748844754560822,23.6377037961344,287.9440818670547,ATE,24025289.67174605,52147.9588652496
(2025 YD3),False,0.0055456822,0.0124005223,1.180204491928406,.2419153757551061,10.55274921473861,468.3109599474874,APO,26468446.97149552,37187.5008261136
